"","date","PE_RATIO","AAPL US EQUITY","IBM US EQUITY","MSFT US EQUITY"
"1","2006-12-29",15.9524,NA,97.15,NA
"2","2006-12-29",24.2764,NA,NA,29.86
"3","2006-12-29",30.6282,12.12,NA,NA
"4","2007-01-31",16.2808,NA,99.15,NA
"5","2007-01-31",25.0894,NA,NA,30.86
"6","2007-01-31",30.9495,12.2471,NA,NA
"7","2007-02-28",15.2611,NA,93.24,NA
"8","2007-02-28",22.9024,NA,NA,28.27
"9","2007-02-28",30.5451,12.0871,NA,NA
"10","2007-03-30",15.1543,NA,94.5643,NA
"11","2007-03-30",19.9071,NA,NA,27.9689
"12","2007-03-30",29.3091,13.2729,NA,NA
"13","2007-04-30",16.4325,NA,102.5399,NA
"14","2007-04-30",21.3857,NA,NA,30.0463
"15","2007-04-30",31.4826,14.2571,NA,NA
"16","2007-05-31",17.1383,NA,107.3454,NA
"17","2007-05-31",21.9215,NA,NA,30.8994
"18","2007-05-31",38.2306,17.313,NA,NA
"19","2007-06-29",16.3941,NA,105.9859,NA
"20","2007-06-29",19.7785,NA,NA,29.671
"21","2007-06-29",34.1849,17.4343,NA,NA
"22","2007-07-31",17.2352,NA,111.4237,NA
"23","2007-07-31",19.4564,NA,NA,29.1877
"24","2007-07-31",36.9076,18.8229,NA,NA
"25","2007-08-31",18.176,NA,117.9087,NA
"26","2007-08-31",19.2819,NA,NA,29.0266
"27","2007-08-31",38.7899,19.7829,NA,NA
"28","2007-09-28",17.7143,NA,119.0303,NA
"29","2007-09-28",18.5283,NA,NA,29.7642
"30","2007-09-28",39.1505,21.9243,NA,NA
"31","2007-10-31",17.4617,NA,117.3328,NA
"32","2007-10-31",23.1509,NA,NA,37.19
"33","2007-10-31",48.4566,27.1357,NA,NA
"34","2007-11-30",15.8165,NA,106.6827,NA
"35","2007-11-30",21.1321,NA,NA,34.058
"36","2007-11-30",46.4847,26.0314,NA,NA
"37","2007-12-31",15.0348,NA,109.6444,NA
"38","2007-12-31",19.3478,NA,NA,36.0853
"39","2007-12-31",43.0609,28.2971,NA,NA
"40","2008-01-31",14.8971,NA,108.6403,NA
"41","2008-01-31",17.7174,NA,NA,33.0444
"42","2008-01-31",29.4261,19.3371,NA,NA
"43","2008-02-29",14.7825,NA,NA,27.6822
"44","2008-02-29",15.8359,NA,115.8924,NA
"45","2008-02-29",27.1783,17.86,NA,NA
"46","2008-03-31",15.0904,NA,117.1953,NA
"47","2008-03-31",15.5934,NA,NA,28.8832
"48","2008-03-31",28.9899,20.5,NA,NA
"49","2008-04-30",15.6703,NA,NA,29.0257
"50","2008-04-30",15.8191,NA,122.8545,NA
"51","2008-04-30",35.1414,24.85,NA,NA
"52","2008-05-30",15.5604,NA,NA,28.9341
"53","2008-05-30",16.9633,NA,132.2493,NA
"54","2008-05-30",38.1313,26.9643,NA,NA
"55","2008-06-30",14.4789,NA,NA,28.1065
"56","2008-06-30",14.6153,NA,121.1119,NA
"57","2008-06-30",31.8327,23.92,NA,NA
"58","2008-07-31",13.5368,NA,NA,26.2777
"59","2008-07-31",15.7805,NA,130.7677,NA
"60","2008-07-31",30.2186,22.7071,NA,NA
"61","2008-08-29",14.3632,NA,NA,27.9941
"62","2008-08-29",15.0099,NA,124.8924,NA
"63","2008-08-29",32.23,24.2186,NA,NA
"64","2008-09-30",13.7925,NA,119.9985,NA
"65","2008-09-30",13.858,NA,NA,27.3787
"66","2008-09-30",16.7888,16.2371,NA,NA
"67","2008-10-31",10.9634,NA,95.3853,NA
"68","2008-10-31",11.5942,NA,NA,22.9062
"69","2008-10-31",15.8922,15.37,NA,NA
"70","2008-11-28",9.6226,NA,84.2329,NA
"71","2008-11-28",10.4986,NA,NA,20.8751
"72","2008-11-28",13.6883,13.2386,NA,NA
"73","2008-12-31",9.3929,NA,86.8755,NA
"74","2008-12-31",10.3173,NA,NA,20.0698
"75","2008-12-31",11.4564,12.1929,NA,NA
"76","2009-01-30",9.0754,NA,NA,17.654
"77","2009-01-30",10.2288,NA,94.6072,NA
"78","2009-01-30",12.098,12.8757,NA,NA
"79","2009-02-27",8.5712,NA,NA,16.8074
"80","2009-02-27",10.2712,NA,95.5156,NA
"81","2009-02-27",11.9879,12.7586,NA,NA
"82","2009-03-31",10.0076,NA,NA,19.1178
"83","2009-03-31",10.7611,NA,100.5596,NA
"84","2009-03-31",13.1072,15.0171,NA,NA
"85","2009-04-30",11.0372,NA,NA,21.0847
"86","2009-04-30",11.463,NA,107.119,NA
"87","2009-04-30",15.6895,17.9757,NA,NA
"88","2009-05-29",11.3804,NA,NA,21.8757
"89","2009-05-29",11.804,NA,110.8761,NA
"90","2009-05-29",16.9339,19.4014,NA,NA
"91","2009-06-30",11.125,NA,108.9357,NA
"92","2009-06-30",13.6949,NA,NA,24.8916
"93","2009-06-30",16.2221,20.3471,NA,NA
"94","2009-07-31",12.5644,NA,123.0299,NA
"95","2009-07-31",13.5509,NA,NA,24.6298
"96","2009-07-31",18.6093,23.3414,NA,NA
"97","2009-08-31",12.5772,NA,123.7289,NA
"98","2009-08-31",14.202,NA,NA,25.9492
"99","2009-08-31",19.1583,24.03,NA,NA
"100","2009-09-30",12.2304,NA,125.3639,NA
"101","2009-09-30",15.5319,NA,NA,27.0756
"102","2009-09-30",20.4355,26.4786,NA,NA
"103","2009-10-30",12.3326,NA,126.412,NA
"104","2009-10-30",16.7457,NA,NA,29.1916
"105","2009-10-30",20.7828,26.9286,NA,NA
"106","2009-11-30",12.9196,NA,133.0046,NA
"107","2009-11-30",17.7602,NA,NA,31.097
"108","2009-11-30",22.0408,28.5586,NA,NA
"109","2009-12-31",12.8998,NA,137.7942,NA
"110","2009-12-31",15.8277,NA,NA,32.2283
"111","2009-12-31",20.5793,30.1046,NA,NA
"112","2010-01-29",12.0612,NA,128.836,NA
"113","2010-01-29",14.6333,NA,NA,29.7964
"114","2010-01-29",18.7562,27.4376,NA,NA
"115","2010-02-26",12.5312,NA,134.4362,NA
"116","2010-02-26",14.8878,NA,NA,30.452
"117","2010-02-26",19.9824,29.2314,NA,NA
"118","2010-03-31",12.3136,NA,135.5886,NA
"119","2010-03-31",15.0564,NA,NA,31.1079
"120","2010-03-31",19.9491,33.5714,NA,NA
"121","2010-04-30",12.3856,NA,136.3815,NA
"122","2010-04-30",15.6977,NA,NA,32.4329
"123","2010-04-30",22.1638,37.2986,NA,NA
"124","2010-05-31",12.0265,NA,133.1147,NA
"125","2010-05-31",13.2635,NA,NA,27.5417
"126","2010-05-31",21.8065,36.6971,NA,NA
"127","2010-06-30",11.0416,NA,NA,24.5633
"128","2010-06-30",11.622,NA,131.2231,NA
"129","2010-06-30",18.9405,35.9329,NA,NA
"130","2010-07-30",12.0851,NA,136.4516,NA
"131","2010-07-30",12.3852,NA,NA,27.5523
"132","2010-07-30",19.3712,36.75,NA,NA
"133","2010-08-31",11.2599,NA,NA,25.1878
"134","2010-08-31",11.5891,NA,131.5419,NA
"135","2010-08-31",18.3057,34.7286,NA,NA
"136","2010-09-30",10.624,NA,NA,26.2881
"137","2010-09-30",12.2341,NA,143.3041,NA
"138","2010-09-30",18.7294,40.5357,NA,NA
"139","2010-10-29",11.5675,NA,NA,28.6228
"140","2010-10-29",13.0969,NA,153.4104,NA
"141","2010-10-29",19.8667,42.9971,NA,NA
"142","2010-11-30",10.9569,NA,NA,27.2837
"143","2010-11-30",12.9018,NA,151.8186,NA
"144","2010-11-30",20.538,44.45,NA,NA
"145","2010-12-31",11.9879,NA,NA,30.149
"146","2010-12-31",12.8027,NA,157.5067,NA
"147","2010-12-31",18.0101,46.08,NA,NA
"148","2011-01-31",11.9085,NA,NA,29.9491
"149","2011-01-31",14.1322,NA,173.8626,NA
"150","2011-01-31",18.9458,48.4743,NA,NA
"151","2011-02-28",11.4167,NA,NA,28.8851
"152","2011-02-28",14.1217,NA,174.4314,NA
"153","2011-02-28",19.7214,50.4586,NA,NA
"154","2011-03-31",10.4534,NA,NA,27.5919
"155","2011-03-31",13.788,NA,175.7137,NA
"156","2011-03-31",16.6114,49.7868,NA,NA
"157","2011-04-29",10.6716,NA,NA,28.1679
"158","2011-04-29",14.423,NA,183.806,NA
"159","2011-04-29",16.6888,50.0186,NA,NA
"160","2011-05-31",10.297,NA,NA,27.3528
"161","2011-05-31",14.2835,NA,182.8362,NA
"162","2011-05-31",16.5791,49.69,NA,NA
"163","2011-06-30",9.9673,NA,NA,28.4356
"164","2011-06-30",13.2886,47.9529,NA,NA
"165","2011-06-30",13.908,NA,185.6719,NA
"166","2011-07-29",10.504,NA,NA,29.9667
"167","2011-07-29",14.743,NA,196.8198,NA
"168","2011-07-29",15.4584,55.7829,NA,NA
"169","2011-08-31",10.1973,NA,NA,29.2668
